Borehole_ID,total_min_depth,total_max_depth,total_depth_range
353_U1443_A,0.0,337.475,337.475
353_U1443_B,0.0,324.641,324.641
353_U1443_C,0.0,209.303,209.303
353_U1443_D,0.0,7.15,7.15
353_U1444_A,0.0,323.274,323.274
353_U1444_B,0.0,128.218,128.218
353_U1445_A,0.0,665.813,665.813
353_U1445_B,0.0,33.327,33.327
353_U1445_C,0.0,305.462,305.462
353_U1446_A,0.0,179.953,179.953
353_U1446_B,0.0,27.105,27.105
353_U1446_C,0.0,181.962,181.962
353_U1447_A,0.0,740.399,740.399
353_U1447_B,0.0,24.258,24.258
353_U1447_C,0.0,161.439,161.439
353_U1448_A,0.0,420.504,420.504
353_U1448_B,0.0,358.104,358.104
353_U1448_C,0.0,34.457,34.457
354_U1449_A,0.0,213.517,213.517
354_U1449_B,1.5,7.8,6.3
354_U1450_A,0.0,687.35,687.35
354_U1450_B,608.0,804.616,196.61599999999999
354_U1451_A,0.0,578.03,578.03
354_U1451_B,542.0,1174.771,632.771
354_U1452_A,0.01,7.845,7.835
354_U1452_B,0.0,215.688,215.688
354_U1452_C,0.0,41.095,41.095
354_U1453_A,0.0,210.45,210.45
354_U1454_A,0.1,7.386,7.2860000000000005
354_U1454_B,0.0,160.73,160.73
354_U1454_C,0.0,33.83,33.83
354_U1454_D,0.03,36.004,35.974
354_U1455_A,0.0,0.899,0.899
354_U1455_B,0.08,6.577,6.497
354_U1455_C,0.0,942.244,942.244
355_U1456_A,0.0,419.079,419.079
355_U1456_B,0.02,28.851,28.831
355_U1456_C,0.0,463.74,463.74
355_U1456_D,458.8,1018.281,559.481
355_U1456_E,970.0,1104.248,134.24800000000005
355_U1457_A,0.0,144.553,144.553
355_U1457_B,0.0,204.939,204.939
355_U1457_C,201.3,1108.906,907.606
356_U1458_A,0.0,9.75,9.75
356_U1459_A,0.1,70.389,70.289
356_U1459_B,22.5,218.748,196.248
356_U1459_C,205.8,397.7,191.89999999999998
356_U1460_A,0.0,299.933,299.933
356_U1460_B,0.0,306.529,306.529
356_U1461_A,0.0,284.605,284.605
356_U1461_B,0.0,877.299,877.299
356_U1461_C,0.0,443.75,443.75
356_U1461_D,455.0,1088.611,633.6110000000001
356_U1462_A,116.6,845.3,728.6999999999999
356_U1462_C,52.3,942.345,890.0450000000001
356_U1463_A,9.7,17.991,8.291
356_U1463_B,0.0,484.228,484.228
356_U1463_C,0.0,392.217,392.217
356_U1463_D,0.0,352.769,352.769
356_U1464_B,0.0,316.883,316.883
356_U1464_C,308.0,832.85,524.85
356_U1464_D,0.0,523.9,523.9
359_U1465_A,0.0,65.237,65.237
359_U1465_B,65.95,212.8,146.85000000000002
359_U1465_C,55.0,213.838,158.838
359_U1466_A,0.0,317.412,317.412
359_U1466_B,314.0,803.55,489.54999999999995
