Lithology Subtype,Principal,mean,rsd,median,count,count_outliers,outlier_count_ratio %,kurtosis,skew
clastic,interbedded siltstone and mudstone,40.02394856076759,0.08494674102191581,40.224999999999994,7504,83,1.1060767590618337,1.6182307137132677,-0.5564347347083564
clastic,lime mud,48.129629629629626,0.09834846791711749,49.0,27,0,0.0,0.07807329475084002,-0.2996413128898146
clastic,lime mudstone,50.2320987654321,0.18888894478923995,52.0,81,0,0.0,-0.31493026817470904,-0.6634741693626732
clastic,lime sandstone,45.766666666666666,0.07714821661684114,44.6,18,0,0.0,-0.9808395054667471,0.4275806351897281
clastic,medium sand,28.50688329519451,0.36189519248369073,31.85,2185,0,0.0,0.7606645808845669,-1.2587996233737149
clastic,medium sand-silt-clay,29.11877053026748,0.3532997744313506,29.9,2131,0,0.0,0.5414691119607205,-0.7864668807387862
clastic,medium to coarse sand,44.44651531151003,0.15019110159313154,44.8,947,8,0.8447729672650475,1.1031677854294326,-0.2804948381739884
clastic,medium to coarse sandstone,33.29723383438584,0.16020735341068548,33.8,11243,24,0.21346615671973673,0.05773203291891882,-0.33272574683904954
clastic,mud,38.386976732722076,0.16197154011558967,37.7,182574,2003,1.097089399366832,3.8257829579846296,0.6026468869144188
clastic,muddy clay,34.152307692307694,0.1473778147019866,32.7,130,2,1.5384615384615385,1.9380343825052018,1.2648423016970363
clastic,muddy sand,40.61174342105263,0.14948237642640422,40.7,1216,9,0.7401315789473685,0.7145474408319026,-0.09734595999477418
clastic,muddy sand/sandstone to sandy mud/mudstone,36.65,0.1036616928739054,37.95,14,0,0.0,-1.3933655630761086,-0.3398879709803557
clastic,muddy sand/sandstone to silty mud/mudstone,34.722995951417005,0.1165223696375625,35.35,247,0,0.0,-0.32954054521758325,-0.5131347479669172
clastic,muddy sandstone,39.1,0.2121760463752942,35.15,4,0,0.0,-0.7752158679320753,1.0335425551652746
clastic,muddy silt,34.09348297213622,0.13547995742348265,33.79,646,3,0.46439628482972134,1.4634699806137217,0.6412181992511279
clastic,muddy siltstone,40.42727272727273,0.20974976459070785,36.6,11,0,0.0,-1.316887335773023,0.3047234620073483
